,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Title-Tokens,Author-Tokens,Publisher-Tokens
145,0060013117,Night Watch,terry pratchett,2002,HarperCollins,"['night', 'watch']","['terry', 'pratchett']",['harpercollins']
146,0060199563,Thief of Time,terry pratchett,2001,HarperCollins Publishers,"['thief', 'time']","['terry', 'pratchett']","['harpercollins', 'publisher']"
147,0060563079,Peter Pan: The Original Story (Peter Pan),jm barrie,2003,HarperFestival,"['peter', 'pan', 'original', 'story', 'peter', 'pan']","['jm', 'barrie']",['harperfestival']
148,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",louise rennison,2002,HarperTempest,"['bright', 'side', 'im', 'girlfriend', 'sex', 'god', 'confession', 'georgia', 'nicolson']","['louise', 'rennison']",['harpertempest']
149,0140620664,Mansfield Park (Penguin Popular Classics),jane austen,1994,Penguin Books Ltd,"['mansfield', 'park', 'penguin', 'popular', 'classic']","['jane', 'austen']","['penguin', 'ltd']"
150,0312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),bernard cornwell,1997,St. Martin's Griffin,"['winter', 'king', 'novel', 'arthur', 'warlord', 'chronicle']","['bernard', 'cornwell']","['st', 'martin', 'griffin']"
151,0312890044,Moonheart (Newford),charles de lint,1994,Orb Books,"['moonheart', 'newford']","['charles', 'de', 'lint']",['orb']
152,0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),oscar wilde,1998,Modern Library,"['picture', 'dorian', 'gray', 'modern', 'library']","['oscar', 'wilde']","['modern', 'library']"
153,037582345X,"The Golden Compass (His Dark Materials, Book 1)",philip pullman,2002,Knopf Books for Young Readers,"['golden', 'compass', 'dark', 'material', 'book', '1']","['philip', 'pullman']","['knopf', 'young', 'reader']"
154,0380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",sue townsend,1997,Perennial,"['adrian', 'mole', 'diary', 'secret', 'diary', 'adrian', 'mole', 'aged', '13', '34', 'growing', 'pain', 'adrian', 'mole']","['sue', 'townsend']",['perennial']
155,0439510112,Born Confused,tanuja desai hidier,2003,Push,"['born', 'confused']","['tanuja', 'desai', 'hidier']",['push']
156,0440241413,Confessions of a Shopaholic,sophie kinsella,2003,Dell,"['confession', 'shopaholic']","['sophie', 'kinsella']",['dell']
157,0451409256,Making Minty Malone,isabel wolff,2000,Onyx Books,"['making', 'minty', 'malone']","['isabel', 'wolff']",['onyx']
158,0451523415,Little Women (Signet Classic),louisa may alcott,1988,Signet Classics,"['little', 'woman', 'signet', 'classic']","['louisa', 'may', 'alcott']","['signet', 'classic']"
159,0451526279,Emma (Signet Classics (Paperback)),jane austen,1996,Signet Classics,"['emma', 'signet', 'classic']","['jane', 'austen']","['signet', 'classic']"
160,0451526341,Animal Farm,george orwell,2004,Signet,"['animal', 'farm']","['george', 'orwell']",['signet']
161,0553280589,Eva Luna,isabel allende,1989,Bantam Books,"['eva', 'luna']","['isabel', 'allende']",['bantam']
162,0571197639,Poisonwood Bible Edition Uk,barbara kingsolver,1997,Faber Faber Inc,"['poisonwood', 'bible', 'edition', 'uk']","['barbara', 'kingsolver']","['faber', 'faber', 'inc']"
163,0679751343,Angels & Insects : Two Novellas,as byatt,1994,Vintage,"['angel', 'insect', 'two', 'novella']","['as', 'byatt']",['vintage']
164,0684833395,Catch 22,joseph heller,1996,Simon & Schuster,"['catch', '22']","['joseph', 'heller']","['simon', 'schuster']"
165,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",alan moore,2002,DC Comics,"['league', 'extraordinary', 'gentleman', 'vol', '1']","['alan', 'moore']","['dc', 'comic']"
166,156971620X,Harlequin Valentine,neil gaiman,2002,Dark Horse Comics,"['harlequin', 'valentine']","['neil', 'gaiman']","['dark', 'horse', 'comic']"
167,0374270325,A Man in Full,tom wolfe,1998,Farrar Straus & Giroux,"['man', 'full']","['tom', 'wolfe']","['farrar', 'straus', 'giroux']"
168,0375719180,The Miracle Life of Edgar Mint: A Novel,brady udall,2002,Vintage Books USA,"['miracle', 'life', 'edgar', 'mint', 'novel']","['brady', 'udall']","['vintage', 'usa']"
169,0440235502,October Sky: A Memoir,homer hickam,1999,Dell,"['october', 'sky', 'memoir']","['homer', 'hickam']",['dell']
170,044023722X,A Painted House,john grisham,2001,Dell Publishing Company,"['painted', 'house']","['john', 'grisham']","['dell', 'company']"
171,1573225487,The Romance Reader,pearl abraham,1996,Riverhead Books,"['romance', 'reader']","['pearl', 'abraham']",['riverhead']
