ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0743249992,bringing down the house the inside story of six m i t students who took vegas for millions,ben mezrich,2003,Free Press
0425184226,the sum of all fears,tom clancy,2002,Berkley Publishing Group
0375500766,care packages  letters to christopher reeve from strangers and other friends,dana reeve,1999,Random House
0060929790,one hundred years of solitude,gabriel garcia marquez,1998,Perennial
0060976845,little altars everywhere a novel,rebecca wells,1996,Perennial
0061099325,coyote waits joe leaphornjim chee novels,tony hillerman,1992,HarperTorch
0671004573,before i say goodbye,mary higgins clark,2001,Pocket
0446601640,slow waltz in cedar bend,robert james waller,1994,Warner Books
038572179X,atonement  a novel,ian mcewan,2003,Anchor
0451410319,hush,anne frasier,2002,Onyx Books
0553583468,whisper of evil hooper kay evil trilogy,kay hooper,2002,Bantam Books
0380778556,rebecca,daphne du maurier,1994,Avon
0451525221,scarlet letter,nathaniel hawthorne,1993,Signet Book
0385336772,diary of a mad momtobe,laura wolf,2003,Delta
0440949424,locked in time laurel leaf books,lois duncan,1986,Laure Leaf
0140252800,the brimstone wedding,barbara vine,1997,Penguin Books Ltd
0812575482,through wolfs eyes wolf,jane lindskold,2002,Tor Fantasy
044651747X,puerto vallarta squeeze,robert james waller,1995,Warner Books
0060801263,tree grows in brooklyn,betty smith,1988,Harpercollins Publisher
0446527165,wish you well,david baldacci,2000,Warner Books
0671461494,the hitchhikers guide to the galaxy,douglas adams,1982,Pocket
0385337639,crow lake today show book club 7,mary lawson,2003,Delta
039575514X,my antonia,willa cather,1995,Mariner Books
0451206673,pen pals,olivia goldsmith,2002,Signet Book
0330332775,bridget joness diary,helen fielding,1997,Picador (UK)
0486284735,pride and prejudice dover thrift editions,jane austen,1995,Dover Publications
0399138684,the cat who came to breakfast cat who hardcover,lilian jackson braun,1994,Putnam Pub Group
0345354931,night mare xanth novels ,piers anthony,1990,Del Rey Books
0553278223,the martian chronicles,ray bradbury,1984,Spectra
3257208626,fahrenheit 451,ray bradbury,1994,Distribooks Inc
3257233051,veronika deschliesst zu sterben  vernika decides to die,paolo coelho,2002,Distribooks
3453212150,die cappuccino jahre aus dem tagebuch des adrian mole,sue townsend,2002,Heyne
3492045642,,michael moore,2003,Piper
3498020862,die korrekturen,jonathan franzen,2002,"Rowohlt, Reinbek"
3596292646,,milan kundera,2000,"Fischer (Tb.), Frankfurt"
0060977493,the god of small things,arundhati roy,1998,Perennial
0316602906,the big bad wolf a novel,james patterson,2003,"Little, Brown"
0316693006,four blind mice,james patterson,2002,"Little, Brown"
0345311396,private screening,richard north patterson,1994,Ballantine Books
0345378490,congo,michael crichton,1995,Ballantine Books
0345404793,protect and defend,richard north patterson,2001,Ballantine Books
0375400117,memoirs of a geisha,arthur golden,1997,Alfred A. Knopf
0375705856,plainsong vintage contemporaries,kent haruf,2000,Vintage
0380717018,body of evidence kay scarpetta mysteries ,patricia d cornwell,1992,Avon
0380718332,all that remains kay scarpetta mysteries ,patricia d cornwell,1993,Avon
038076654X,petals on the river,kathleen e woodiwiss,1997,Avon Trade
0380807866,the elusive flame,kathleen e woodiwiss,1999,Avon
0385316895,legacy of silence,belva plain,1998,Bantam Dell Pub Group
0385497466,the brethren,john grisham,2000,Doubleday
0385508042,the king of torts,john grisham,2003,Doubleday Books
0385509456,the curious incident of the dog in the nighttime  a novel,mark haddon,2003,Doubleday
0385511612,bleachers,john grisham,2003,Doubleday
0385730586,sisterhood of the traveling pants,ann brashares,2003,Delacorte Books for Young Readers
0425164403,only love magical love,erich segal,1998,Berkley Publishing Group
0446605484,roses are red alex cross novels,james patterson,2001,Warner Vision
0446610399,the rescue,nicholas sparks,2001,Warner Books
0449006522,manhattan hunt club,john saul,2002,Ballantine Books
0449911004,patty janes house of curl ballantine readers circle,lorna landvik,1996,Ballantine Books
0451162072,pet sematary,stephen king,1994,Signet Book
0451186648,silent snow,steve thayer,2000,Signet Book
0452282152,girl with a pearl earring,tracy chevalier,2001,Plume Books
051513290X,summer of storms,judith kelman,2002,Jove Books
0553580388,the patient,michael palmer,2001,Bantam Books
0590629719,cliffords sports day,norman bridwell,1996,Scholastic
0671023616,postmortem kay scarpetta mysteries ,patricia cornwell,1998,Pocket
0671027387,deception point,dan brown,2002,Pocket
0684848783,tis  a memoir,frank mccourt,1999,Scribner
0743486226,angels  demons,dan brown,2003,Atria
0786863986,a monk swimming,malachy mccourt,1998,Hyperion
0804117934,the silent cry william monk novels ,anne perry,1998,Ivy Books
140003180X,the kalahari typing school for men no 1 ladies detective agency,alexander mccall smith,2004,Anchor
155874262X,chicken soup for the soul chicken soup for the soul,jack canfield,1993,Health Communications
0060987103,wicked the life and times of the wicked witch of the west,gregory maguire,1996,Regan Books
0151008116,life of pi,yann martel,2002,Harcourt
0375704965,a judgement in stone,ruth rendell,2000,Vintage Books USA
0525947647,lies and the lying liars who tell them a fair and balanced look at the right,al franken,2003,Dutton Books
0804111359,secret history,donna tartt,1993,Ballantine Books
1558744150,chicken soup for the womans soul chicken soup for the soul series paper,jack canfield,1996,Health Communications
0316782505,the weight of water,anita shreve,2001,"Little, Brown"
006102063X,moving pictures discworld novels ,terry pratchett,2002,HarperTorch
0060013117,night watch,terry pratchett,2002,HarperCollins
0060199563,thief of time,terry pratchett,2001,HarperCollins Publishers
0060563079,peter pan the original story peter pan,jm barrie,2003,HarperFestival
0064472264,on the bright side im now the girlfriend of a sex god further confessions of georgia nicolson,louise rennison,2002,HarperTempest
0140620664,mansfield park penguin popular classics,jane austen,1994,Penguin Books Ltd
0312156960,the winter king a novel of arthur the warlord chronicles i,bernard cornwell,1997,St. Martin's Griffin
0312890044,moonheart newford,charles de lint,1994,Orb Books
0375751513,the picture of dorian gray modern library ,oscar wilde,1998,Modern Library
037582345X,the golden compass his dark materials book 1,philip pullman,2002,Knopf Books for Young Readers
0380730448,the adrian mole diaries  the secret diary of adrian mole aged 13 34  the growing pains of adrian mole,sue townsend,1997,Perennial
0439510112,born confused,tanuja desai hidier,2003,Push
0440241413,confessions of a shopaholic,sophie kinsella,2003,Dell
0451409256,making minty malone,isabel wolff,2000,Onyx Books
0451523415,little women signet classic,louisa may alcott,1988,Signet Classics
0451526279,emma signet classics ,jane austen,1996,Signet Classics
0451526341,animal farm,george orwell,2004,Signet
0553280589,eva luna,isabel allende,1989,Bantam Books
0571197639,poisonwood bible edition uk,barbara kingsolver,0,Faber Faber Inc
0679751343,angels  insects  two novellas,as byatt,1994,Vintage
0684833395,catch 22,joseph heller,1996,Simon & Schuster
1563898586,the league of extraordinary gentlemen vol 1,alan moore,2002,DC Comics
156971620X,harlequin valentine,neil gaiman,2002,Dark Horse Comics
0374270325,a man in full,tom wolfe,1998,Farrar Straus & Giroux
0375719180,the miracle life of edgar mint a novel,brady udall,2002,Vintage Books USA
0440235502,october sky a memoir,homer hickam,1999,Dell
044023722X,a painted house,john grisham,2001,Dell Publishing Company
1573225487,the romance reader,pearl abraham,1996,Riverhead Books
1853260673,far from the madding crowd wordsworth classics,thomas hardy,1997,NTC/Contemporary Publishing Company
0060977477,the perfect storm  a true story of men against the sea,sebastian junger,1999,Perennial
0345391691,the battle for god,karen armstrong,2001,Ballantine Books
0553278746,the postman bantam classics,david brin,1990,Spectra Books
0972044205,the breach,brian kaufman,2002,Last Knight Pub Co
0312963009,neanderthal a novel,john darnton,1997,St. Martin's Press
0345435869,the rivan codex  ancient texts of the belgariad and the malloreon,david eddings,1999,Del Rey
0380728729,babyhood,paul reiser,1998,Avon
0449912302,dave barry in cyberspace,dave barry,1997,Ballantine Books
0812541642,waiting,frank m robinson,2000,Tor Books
0486282112,frankenstein dover thrift editions,mary wollstonecraft shelley,1994,Dover Publications
0684193957,all that remains,patricia cornwell,1992,Scribner
0345371984,last chance to see,douglas adams,1992,Ballantine Books
0380730138,vinegar hill oprahs book club ,a manette ansay,1998,Perennial
1573228737,affinity,sarah waters,2002,Riverhead Books
9681500555,diario de ana frank,anne frank,2000,"Editores Mexicanos Unidos, S.A."
0452283914,the best democracy money can buy the truth about corporate cons globalization and highfinance fraudsters,greg palast,2003,Plume Books
0425120279,the hunt for red october,tom clancy,1990,Berkley Publishing Group
0380728273,liberty falling anna pigeon mysteries ,nevada barr,2000,Avon
8433914545,el palacio de la luna,paul auster,1996,Anagrama
0446606197,killer market deborah knott mysteries ,margaret maron,1999,Warner Books
3596214629,herr der fliegen fiction poetry and drama,golding,0,Fischer Taschenbuch Verlag GmbH
0060188731,bel canto,ann patchett,2001,HarperCollins Publishers
0140374248,james and the giant peach,roald dahl,2000,Penguin USA (Paper)
0142001740,the secret life of bees,sue monk kidd,2003,Penguin Books
0312995423,digital fortress  a thriller,dan brown,2003,St. Martin's Press
0380704587,the ladies of missalonghi,colleen mccullough,1988,Avon
0380815923,blackberry wine  a novel,joanne harris,2001,Perennial
0385416342,the firm,john grisham,1991,Doubleday Books
0385418493,how the irish saved civilization the untold story of irelands heroic role from the fall of rome to the rise of medieval europe hinges of history,thomas cahill,1996,Anchor
038542471X,the client,john grisham,1993,Doubleday Books
0449005410,horse heaven ballantine readers circle,jane smiley,2001,Ballantine Books
0449207544,proof,dick francis,1990,Fawcett Books
0515128554,heart of the sea irish trilogy,nora roberts,2000,Jove Books
0517577402,mostly harmless,douglas adams,1992,Random House Inc
0590481371,i spy spooky night a book of picture riddles i spy books,walter wick,1996,Scholastic
067103619X,lake news,barbara delinsky,2000,Pocket
0743411269,an accidental woman,barbara delinsky,2003,Pocket Books
0743470389,the snow garden,christopher rice,2004,Pocket Star
0767905938,a year by the sea thoughts of an unfinished woman,joan anderson,2000,Broadway Books
0156528207,the little prince,,1968,Harcourt
0380012863,jonathan livingston seagull,richard bach,1976,Avon
0875421288,the complete book of incense oils  brews llewellyns practical magick,scott cunningham,1989,Llewellyn Publications
0451527747,alices adventures in wonderland and through the looking glass,lewis carroll,2000,Signet Classics
0671867113,moonlight becomes you,mary higgins clark,1997,Pocket
0812504208,the adventures of tom sawyer,mark twain,1989,Tor Books
0060173289,divine secrets of the yaya sisterhood  a novel,rebecca wells,1996,HarperCollins
0060973897,lakota woman,dog mary crow,1991,Perennial
006101351X,the perfect storm  a true story of men against the sea,sebastian junger,1998,HarperTorch
0316666343,the lovely bones a novel,alice sebold,2002,"Little, Brown"
0440224675,hannibal,thomas harris,2000,Dell Publishing Company
0449002632,london  the novel,edward rutherfurd,1998,Fawcett
0449213773,life before man,margaret atwood,1990,Fawcett Books
0452279690,cavedweller,dorothy allison,1999,Plume Books
0553569058,the robber bride,margaret atwood,1995,Bantam
0679427430,wouldnt take nothing for my journey now,maya angelou,1993,Random House
1573225126,prozac nation young and depressed in america  a memoir,elizabeth wurtzel,1997,Riverhead Books
1878424319,the four agreements a practical guide to personal freedom,don miguel ruiz,1997,Amber-Allen Publishing
8478800336,,carmen ricogodoy,1990,Ediciones Temas de Hoy
1853260622,war and peace wordsworth classics,leo tolstoy,1997,NTC/Contemporary Publishing Company
0312283784,alices tulips,sandra dallas,2001,St. Martin's Griffin
0345297709,centaur aisle,piers anthony,1982,Ballantine Books
0345313097,crewel lye,piers anthony,1985,Ballantine Books
0345335465,dragonflight dragonriders of pern trilogy ,anne mccaffrey,1991,Del Rey Books
0385333404,dating big bird,laura zigman,2000,Dial Books
044021145X,the firm,john grisham,1992,Bantam Dell Publishing Group
0449212084,murder at the kennedy center capital crime mysteries,margaret truman,1990,Fawcett Books
0553582682,guinness world records 2000 guinness book of records 2000,nic kynaston,2000,Bantam Books
0843136685,sheldon  mrs levine an excruciating correspondence,sam bobrick,1994,Price Stern Sloan
0553210092,the scarlet letter,nathaniel hawthorne,1965,Bantam
0553258524,dragonsong harper hall trilogy,anne mccaffrey,1977,Bantam
055358099X,cloud nine,luanne rice,2000,Bantam Books
0316168815,the lovely bones,alice sebold,2004,Back Bay Books
014023828X,the tortilla curtain,t coraghessan boyle,1996,Penguin Books
0345424719,a widow for one year,john irving,1999,Ballantine Books
0375726403,empire falls,richard russo,2002,Vintage Books USA
0385503857,oryx and crake,margaret atwood,2003,Nan A. Talese
0425156842,sophies world a novel about the history of philosophy berkeley signature edition,jostein gaarder,1997,Berkley Publishing Group
0440226104,black and blue,anna quindlen,1999,Dell
0452277337,le divorce william abrahams book,diane johnson,1997,Plume Books
0553802488,the face,dean koontz,2003,Bantam
0671021001,shes come undone oprahs book club,wally lamb,1998,Pocket
0767903579,falling leaves the true story of an unwanted chinese daughter,adeline yen mah,1999,Broadway Books
0805063897,nickel and dimed on not getting by in america,barbara ehrenreich,2002,Owl Books
0679777431,the game of kings lymond chronicles 1,dorothy dunnett,1997,Vintage
0553285343,russia house the,john le carre,1990,Bantam
0671002481,the first wives club movie tie in,olivia goldsmith,1996,Pocket
0842329129,left behind a novel of the earths last days left behind no 1,tim lahaye,1996,Tyndale House Publishers
0345451260,househusband,ad hudler,2002,Ballantine Books
0380973545,letters from a nut,ted l nancy,1999,William Morrow
0743424425,the shining,stephen king,2001,Pocket
0786868015,the diary of ellen rimbauer my life at rose red,joyce reardon,2001,Hyperion
0446610178,the sky is falling,sidney sheldon,2001,Warner Books
0743229878,mount vernon love story  a novel of george and martha washington,mary higgins clark,2002,Simon & Schuster
0380732335,florida road kill a novel,tim dorsey,2000,HarperTorch
0385337132,the 37th hour,jodi compton,2003,Delacorte Press
0440235057,be cool,elmore leonard,2000,Dell Publishing Company
0060915544,the bean trees,barbara kingsolver,1989,Perennial
0060917016,homeland and other stories,barbara kingsolver,1990,Perennial
0060925000,a suitable boy  novel a,vikram seth,1994,Perennial
0060932759,daughter of fortune,isabel allende,2000,Perennial
0061000280,the fly on the wall,tony hillerman,1990,HarperTorch
0312195516,the red tent bestselling backlist,anita diamant,1998,Picador USA
0380792664,the right hand of amon,lauren haney,1997,Avon
0399137807,the cat who wasnt there,lilian jackson braun,1992,Putnam Pub Group
039914739X,isle of dogs,patricia daniels cornwell,2001,Putnam Publishing Group
0451203046,light a penny candle,maeve binchy,2001,Signet Book
0451410556,the blue last a richard jury mystery richard jury mysteries ,martha grimes,2002,Onyx Books
0486281965,the country of the pointed firs dover thrift editions,sarah orne jewett,1994,Dover Publications
081296666X,things my girlfriend and i have argued about a novel,mil millington,2003,Villard Books
0312278586,the nanny diaries a novel,emma mclaughlin,2002,St. Martin's Press
8845229041,biblioteca universale rizzoli sulla sponda del fiume piedra,p coelho,0,Fabbri - RCS Libri
0312288115,confessions of a sociopathic social climber  the katya livingston chronicles katya livingston chronicles hardcover,adele lang,2002,Thomas Dunne Books
0380710218,postmortem,patricia daniels cornwell,1993,Harper Mass Market Paperbacks (Mm)
0515118656,the cove,catherine coulter,1996,Jove Books
0553289063,an inconvenient woman,dominick dunne,1991,Bantam Books
0671000306,shock wave dirk pitt adventures ,clive cussler,1996,Pocket
0671673688,while my pretty one sleeps,mary higgins clark,1990,Pocket
0618173870,everything is illuminated a novel,jonathan safran foer,2002,Houghton Mifflin Company
0156027321,life of pi,yann martel,2003,Harvest Books
0385721420,three junes,julia glass,2003,Anchor
0451202341,back roads,tawni odell,2001,Signet Book
0743418190,in her shoes  a novel,jennifer weiner,2002,Atria Books
0385335407,the kiss,danielle steel,2001,Delacorte Press
0060923245,sweet hereafter movie tiein  a novel,russell banks,1992,Perennial
0486272664,the rime of the ancient mariner and other poems,samuel taylor coleridge,1992,Dover Publications
0060913509,in country ri,bobbie ann mason,1986,Perennial
0553272837,brazen virtue,nora roberts,1996,Bantam Books
0440225078,ghost moon,karen robards,2001,Dell Publishing Company
0425181111,strangers,dean r koontz,2002,Berkley Publishing Group
0380732688,milk and honey peter deckerrina lazarus novels,faye kellerman,2002,Avon
0140286276,the deep end of the ocean oprahs book club,jacquelyn mitchard,1999,Penguin Books
0373484100,night tales,nora roberts,2000,Silhouette
0449907481,a thousand acres ballantine readers circle,jane smiley,1992,Ballantine Books
0553107305,chopping spree,diane mott davidson,2002,Bantam
080213825X,four blondes,candace bushnell,2001,Grove Press
0515127833,rivers end,nora roberts,2003,Jove Books
0345441133,summer island,kristin hannah,2002,Ballantine Books
0515134279,the straw men,michael marshall,2002,Jove Books
0385490992,the street lawyer,john grisham,1998,Doubleday Books
0385424728,the chamber,john grisham,1994,Doubleday Books
0312980388,warlock  a novel of ancient egypt,wilbur smith,2002,St. Martin's Paperbacks
0385472951,the partner,john grisham,1997,Doubleday Books
0451195663,primal scream,michael slade,1998,Signet Book
0425182878,chosen prey,john sandford,2004,Berkley Publishing Group
0553564528,guilty as sin,tami hoag,1997,Bantam
055356451X,night sins,tami hoag,1995,Bantam
0743412621,the second time around  a novel,mary higgins clark,2004,Pocket
0020442408,prince caspian,cs lewis,1970,MacMillan Publishing Company.
042517736X,abduction,robin cook,2000,Berkley Publishing Group
0671868713,and never let her go  thomas capano the deadly seducer,ann rule,2000,Pocket
0345313860,the vampire lestat vampire chronicles book ii,anne rice,1986,Ballantine Books
0345369947,the mummy or ramses the damned,anne rice,1991,Ballantine Books
0345353625,her mothers daughter,marilyn french,1990,Ballantine Books
006017143X,the night listener,armistead maupin,2000,HarperCollins Publishers
0805056491,organizing from the inside out,julie morgenstern,1998,Henry Holt & Company
0679401377,the hellfire club,peter straub,1996,Random House Inc
1562827049,the diary of jack the ripperthe discovery the investigation the debate,jack,1993,Hyperion Books
0385306032,vanished,danielle steel,1993,Delacorte Press
0821772953,the morning after,lisa jackson,2004,Zebra Books
0345379454,missing susan,sharyn mccrumb,1992,Ballantine Books
0553576925,hiding in the shadows shadows trilogy ,kay hooper,2000,Bantam Books
0743206053,kitchen privileges  a memoir,mary higgins clark,2002,Simon & Schuster
0307001164,101 dalmatians,justine korman,1996,Golden Books Publishing Company
0812519655,sacred ground,mercedes lackey,1995,Tor Books
0812524853,burning water burning water,mercedes lackey,1992,Tor Books
193072229X,moveons 50 ways to love your country how to find your political voice and become a catalyst for change,moveon,2004,Inner Ocean Publishing
1400077826,cold mountain mti vintage contemporaries,charles frazier,2003,Vintage
0446394521,daisy fay and the miracle man,fannie flagg,1992,Warner Books
0590021117,little house on the prairie,laura ingall wilder,0,Scholastic Inc
068484267X,angelas ashes a memoir,frank mccourt,1999,Scribner
0553578693,the next accident,lisa gardner,2002,Bantam
0312986769,in the bleak midwinter a rev clare ferguson mystery,julia spencerfleming,2003,St. Martin's Minotaur
0345413377,the amber spyglass his dark materials book 3,philip pullman,2001,Del Rey
0345413369,the subtle knife his dark materials book 2,philip pullman,1998,Del Rey
0679893105,the golden compass his dark materials book 1,philip pullman,1998,Knopf Books for Young Readers
0345369068,if ever i return pretty peggyo,sharyn mccrumb,1991,Fawcett Books
0451184718,the rosewood casket,sharyn mccrumb,1997,Signet Book
0060938455,fast food nation the dark side of the allamerican meal,eric schlosser,2002,Perennial
080411952X,the unsung hero,suzanne brockmann,2000,Ivy Books
0060558865,ella enchanted rack,gail carson levine,2004,Avon
0767912918,passing for thin  losing half my weight and finding my self,frances kuffel,2004,Broadway
0553298860,bloodlines dog lovers mysteries,susan conant,1994,Bantam Books
0385335679,kissing in manhattan,david schickler,2002,Delta
0440122090,echoes,maeve binchy,1989,Dell
0671525832,someone to watch over me  a novel,judith mcnaught,2003,Pocket
0553279572,the toynbee convector,ray bradbury,1989,Spectra Books
0061009059,one for the money stephanie plum novels ,janet evanovich,1995,HarperTorch
0060930187,the bell jar  a novel perennial classics,sylvia plath,2000,Perennial
0679450432,dark lady,richard north patterson,1999,Alfred A. Knopf
0821775863,the future scrolls,fern michaels,2003,Zebra Books
0821770209,about face,fern michaels,2003,Zebra Books
0553562819,globalhead,bruce sterling,1994,Spectra Books
0446364193,along came a spider alex cross novels,james patterson,1993,Warner Books
0446519138,simple abundance  a daybook of comfort and joy,sarah ban breathnach,1995,Warner Books
0425179672,the river king,alice hoffman,2001,Berkley Publishing Group
0061042943,final appeal,lisa scottoline,1994,HarperTorch
0399144463,who moved my cheese an amazing way to deal with change in your work and in your life,spencer johnson,1998,Putnam Pub Group (Paper)
0743444167,new cardiff,charles webb,2002,Washington Square Press
0618231617,almost a novel,elizabeth benedict,2002,Mariner Books
0425174484,expecting adam a true story of birth rebirth and everyday magic,martha beck,2000,Berkley Publishing Group
0140185216,on the road penguin 20th century classics,jack kerouac,1998,Penguin USA (Paper)
0684717255,i and thou,martin buber,1971,Free Press
0486272745,the prince dover thrift editions,,1992,Dover Publications
0062507249,becoming a man  half a life story,paul monette,1993,HarperSanFrancisco
0684801221,old man and the sea,ernest hemingway,1995,Scribner
0060083298,the dominant blonde,alisa kwitney,2002,Avon Trade
0446672211,where the heart is oprahs book club ,billie letts,1998,Warner Books
0140293248,the girls guide to hunting and fishing,melissa bank,2000,Penguin Books
0743213831,america the beautiful a novel,moon unit zappa,2001,Touchstone
0142000205,icy sparks,gwyn hyman rubio,2001,Penguin Books
0316735027,the true and outstanding adventures of the hunt sisters a novel,elisabeth robinson,2004,"Little, Brown"
193156146X,the time travelers wife,audrey niffenegger,2003,MacAdam/Cage Publishing
015600710X,strange fits of passion a novel,anita shreve,1999,Harvest Books
0062517856,the monk downstairs a novel,tim farrington,2002,HarperSanFrancisco
0449207757,davitas harp,chaim potok,1990,Fawcett Books
0449245691,the book of lights,chaim potok,1997,Fawcett Books
2253004022,regain,jean giono,1987,LGF
2253005274,le grand meaulnes classiques de poche,alainfournier,2000,Distribooks Inc
225300670X,a louest rien de nouveau,erich maria remarque,1973,LGF
2266084372,,lewis,2000,Pocket
2070362388,ravage,rene barjavel,0,Gallimard French
2253007102,les fleurs du mal,c baudelaire,1972,Livre De Poche French
3492207006,die entdeckung der langsamkeit,sten nadolny,1987,Piper
0140620427,sense and sensibility penguin popular classics,jane austen,1994,Penguin Books Ltd
3596144434,der gemietete mann,hera lind,1999,"Fischer (Tb.), Frankfurt"
3442724686,der gott der kleinen dinge,arundhati roy,1999,btb
0385504209,the da vinci code,dan brown,2003,Doubleday
0446525502,the rescue,nicholas sparks,2000,Warner Books
0385500769,a map of the world,jane hamilton,1999,Doubleday Books
0670892963,bridget jones  the edge of reason,helen fielding,2000,Viking Books
0688180639,vinegar hill oprahs book club hardcover,a manette ansay,1999,HarperCollins
0316789089,the pilots wife  a novel tag author of the weight of water oprahs book club hardcover,anita shreve,1999,"Little, Brown"
0425184129,big trouble,dave barry,2002,Berkley Publishing Group
0151001006,snow falling on cedars,david guterson,1994,Harcourt
0385505833,skipping christmas,john grisham,2001,Doubleday
0679442790,the reader,bernhard schlink,1997,Random House
0609605925,angel falls,kristin hannah,2000,Crown
0060191929,the saving graces  a novel,patricia gaffney,1999,HarperCollins
0743206045,daddys little girl,mary higgins clark,2002,Simon & Schuster
0684864843,the vineyard  a novel,barbara delinsky,2000,Simon & Schuster
0684867818,the looking glass  a novel the locket series,richard paul evans,1999,Simon & Schuster
0743406176,if only it were true,marc levy,2000,Atria
0679603352,the cider house rules a novel modern library,john irving,1999,Modern Library
0679410430,lolita everymans library cloth,vladimir nabokov,1993,Everyman's Library
0446523569,message in a bottle,nicholas sparks,1998,Warner Books
0671042556,blackbird a childhood lost and found,jennifer lauck,2000,Atria
0679450440,protect and defend,richard north patterson,2000,Random House Inc
0140107649,blue heaven contemporary american fiction s,joe keenan,1988,Penguin Books
0609606727,julie and romeo,jeanne ray,2000,Harmony
